dataset_id,column_name,n_samples,n_missing,n_unique,top_values,metadata_type
GSE3365,title,127,0,127,"Crohn's Disease subject (20 year old black male, SAK_1259851809) [n=1] || Crohn's Disease subject (20 year old caucasian female, SAK_1287906498) [n=1] || Crohn's Disease subject (21 year old caucasian female, SAK_1261327175) [n=1] || Crohn's Disease subject (21 year old caucasian male, SAK_1260634232) [n=1] || Crohn's Disease subject (22 year old black female, SAK_1259740044) [n=1] || Crohn's Disease subject (22 year old caucasian female, SAK_1316756241) [n=1] || Crohn's Disease subject (23 year old caucasian male, SAK_1316577485) [n=1] || Crohn's Disease subject (27 year old caucasian female, SAK_1275500386) [n=1] || Crohn's Disease subject (27 year old caucasian male, SAK_1313693880) [n=1] || Crohn's Disease subject (28 year old black male, SAK_1313738586) [n=1] || Crohn's Disease subject (28 year old caucasian female, SAK_1316711535) [n=1] || Crohn's Disease subject (29 year old caucasian female, SAK_1280865117) [n=1] || Crohn's Disease subject (31 year old caucasian female, SAK_1313134987) [n=1] || Crohn's Disease subject (31 year old caucasian male, SAK_1315951533) [n=1] || Crohn's Disease subject (32 year old caucasian male, SAK_1287459252) [n=1]",GSE_sample_metadata
GSE3365,source_name_ch1,127,0,3,PBMCs from Crohn's Disease subject [n=59] || PBMCs from Normal subject [n=42] || PBMCs from Ulcerative Colitis subject [n=26],GSE_sample_metadata
GSE3365,status,127,0,1,Public on Sep 26 2005 [n=127],GSE_sample_metadata
GSE3365,description,127,0,3,PBMCs from Crohn's Disease subject [n=59] || PBMCs from Normal subject [n=42] || PBMCs from Ulcerative Colitis subject [n=26],GSE_sample_metadata
GSE3365,description.1,127,0,3,Subject Disease : Crohn's Disease [n=59] || Subject Disease : Normal [n=42] || Subject Disease : Ulcerative Colitis [n=26],GSE_sample_metadata
GSE3365,description.2,127,0,45,Subject Age : 47 [n=9] || Subject Age : 42 [n=8] || Subject Age : 33 [n=7] || Subject Age : 54 [n=6] || Subject Age : 27 [n=5] || Subject Age : 31 [n=5] || Subject Age : 41 [n=5] || Subject Age : 46 [n=5] || Subject Age : 34 [n=4] || Subject Age : 40 [n=4] || Subject Age : 49 [n=4] || Subject Age : 56 [n=4] || Subject Age : 28 [n=3] || Subject Age : 39 [n=3] || Subject Age : 45 [n=3],GSE_sample_metadata
GSE3365,description.3,127,0,5,Subject Race : CAUCASIAN [n=113] || Subject Race : BLACK [n=10] || Subject Race : HISPANIC [n=2] || Subject Race : ASIAN [n=1] || Subject Race : INDIAN [n=1],GSE_sample_metadata
GSE3365,description.4,127,0,2,Subject Gender : FEMALE [n=74] || Subject Gender : MALE [n=53],GSE_sample_metadata
GSE3365,type,127,0,1,RNA [n=127],GSE_sample_metadata
GSE3365,organism_ch1,127,0,1,Homo sapiens [n=127],GSE_sample_metadata
GSE3365,sample_id,127,0,127,GSM76030 [n=1] || GSM76031 [n=1] || GSM76032 [n=1] || GSM76033 [n=1] || GSM76034 [n=1] || GSM76035 [n=1] || GSM76036 [n=1] || GSM76037 [n=1] || GSM76038 [n=1] || GSM76039 [n=1] || GSM76040 [n=1] || GSM76041 [n=1] || GSM76042 [n=1] || GSM76043 [n=1] || GSM76044 [n=1],GSE_sample_metadata
